FECHA,CLASE,total_accidentes,MES,FESTIVO,MADRE,NAVIDAD,BRUJITOS,SEMSANTA,ESCOLAR,DIA_NOMBRE,SEMANA,PERIODO
2019-01-01,ATROPELLO,8,01,No,No,Si,No,No,No,MARTES,1,2019
2019-01-01,CAIDA OCUPANTE,7,01,No,No,Si,No,No,No,MARTES,1,2019
2019-01-01,CHOQUE,36,01,No,No,Si,No,No,No,MARTES,1,2019
2019-01-01,OTRO,11,01,No,No,Si,No,No,No,MARTES,1,2019
2019-01-01,VOLCAMIENTO,1,01,No,No,Si,No,No,No,MARTES,1,2019
2019-01-02,ATROPELLO,7,01,No,No,No,No,No,No,MIERCOLES,1,2019
2019-01-02,CAIDA OCUPANTE,11,01,No,No,No,No,No,No,MIERCOLES,1,2019
2019-01-02,CHOQUE,63,01,No,No,No,No,No,No,MIERCOLES,1,2019
2019-01-02,OTRO,15,01,No,No,No,No,No,No,MIERCOLES,1,2019
2019-01-02,VOLCAMIENTO,6,01,No,No,No,No,No,No,MIERCOLES,1,2019
2019-01-03,ATROPELLO,14,01,No,No,No,No,No,No,JUEVES,1,2019
2019-01-03,CAIDA OCUPANTE,4,01,No,No,No,No,No,No,JUEVES,1,2019
2019-01-03,CHOQUE,73,01,No,No,No,No,No,No,JUEVES,1,2019
2019-01-03,OTRO,7,01,No,No,No,No,No,No,JUEVES,1,2019
2019-01-03,VOLCAMIENTO,4,01,No,No,No,No,No,No,JUEVES,1,2019
2019-01-04,ATROPELLO,8,01,No,No,No,No,No,No,VIERNES,1,2019
2019-01-04,CAIDA OCUPANTE,12,01,No,No,No,No,No,No,VIERNES,1,2019
2019-01-04,CHOQUE,58,01,No,No,No,No,No,No,VIERNES,1,2019
2019-01-04,OTRO,12,01,No,No,No,No,No,No,VIERNES,1,2019
2019-01-04,VOLCAMIENTO,2,01,No,No,No,No,No,No,VIERNES,1,2019
2019-01-05,ATROPELLO,10,01,No,No,No,No,No,No,SABADO,1,2019
2019-01-05,CAIDA OCUPANTE,11,01,No,No,No,No,No,No,SABADO,1,2019
2019-01-05,CHOQUE,40,01,No,No,No,No,No,No,SABADO,1,2019
2019-01-05,OTRO,21,01,No,No,No,No,No,No,SABADO,1,2019
2019-01-05,VOLCAMIENTO,1,01,No,No,No,No,No,No,SABADO,1,2019
2019-01-06,ATROPELLO,10,01,No,No,No,No,No,No,DOMINGO,1,2019
2019-01-06,CAIDA OCUPANTE,8,01,No,No,No,No,No,No,DOMINGO,1,2019
